episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
1,success,3,16.2642,3.2475,0.1997,5.0082,,,1.07,0.682,1.682,-0.0153,1.1545,0.8797,0.8219,4.1355,-0.2056,0.7944,-0.1706
2,success,3,17.909,3.536,0.1974,5.0648,,,0.6868,-0.5642,0.4358,-0.1807,0.9319,0.9156,0.9157,4.1224,-0.082,0.918,0.0097
3,success,3,13.1767,2.638,0.2002,4.995,,,1.5098,0.0534,1.0534,-0.0879,0.9744,1.0015,0.8813,4.1322,-0.1385,0.8615,-0.1419
4,collision,0,2.7556,0.3236,0.1174,8.5148,gate_pole,,1.6455,-0.5049,0.4951,0.0879,0.9795,0.9138,0.9033,1.9033,-0.3208,0.6792,0.7394
5,collision,0,4.3665,0.5223,0.1196,8.3605,gate_pole,,1.4871,-0.4799,0.5201,-0.1225,1.081,0.9067,0.9438,1.8662,-0.1422,0.8578,0.6866
6,success,3,18.4475,3.7259,0.202,4.9511,,,0.5048,0.0804,1.0804,-0.0235,0.8151,1.1493,0.9639,4.1354,-0.0619,0.9381,-0.1828
7,success,3,15.5809,2.7494,0.1765,5.6671,,,1.5577,0.4501,1.4501,0.0282,1.1067,0.8426,1.0324,4.137,0.0637,1.0637,0.1935
8,success,3,18.778,3.7486,0.1996,5.0094,,,0.4955,0.4314,1.4314,0.0103,1.0039,1.1739,0.9557,4.1401,-0.083,0.917,-0.2486
9,success,3,17.806,3.6528,0.2051,4.8746,,,0.4974,0.3299,1.3299,0.0706,1.0893,1.1524,1.1076,4.1245,0.1,1.1,-0.0591
10,success,3,18.4595,3.8183,0.2068,4.8344,,,0.3919,0.3655,1.3655,0.0883,0.8913,0.8276,0.8007,4.1308,-0.2236,0.7764,-0.1404
11,success,3,16.0975,3.3063,0.2054,4.8687,,,0.9909,0.5654,1.5654,-0.0362,1.0181,0.9514,0.8812,4.1259,-0.0352,0.9648,0.0445
12,success,3,19.1196,3.8836,0.2031,4.9231,,,1.5464,-0.6269,0.3731,0.0159,0.8848,0.8206,1.1487,4.1295,0.0521,1.0521,-0.0971
13,success,3,18.4407,3.7576,0.2038,4.9076,,,0.6772,0.6963,1.6963,-0.1764,1.1783,1.1491,0.8136,4.1409,0.1342,1.1342,0.2301
14,success,3,15.5206,3.1288,0.2016,4.9606,,,1.4903,-0.4768,0.5232,0.108,0.9982,0.8068,0.8919,4.1396,0.177,1.177,0.2337
15,success,3,37.6625,6.787,0.1802,5.5492,,,1.015,-0.3929,0.6071,-0.188,0.8571,1.0792,1.1535,4.1371,-0.142,0.858,-0.1848
16,success,3,17.0507,3.4748,0.2038,4.9069,,,0.863,0.0491,1.0491,-0.197,0.9356,1.042,1.1342,4.1463,0.2009,1.2009,0.3069
17,success,3,16.3404,3.1362,0.1919,5.2102,,,0.5668,-0.1271,0.8729,-0.1078,1.185,1.0641,1.0362,4.1227,-0.1765,0.8235,-0.0008
18,success,3,15.9024,2.9727,0.1869,5.3495,,,1.609,-0.39,0.61,-0.1198,1.1128,1.0845,0.8914,4.1351,-0.0694,0.9306,-0.1755
19,success,3,18.94,3.8106,0.2012,4.9704,,,0.3428,-0.1024,0.8976,-0.1775,0.8982,0.9656,0.975,4.1442,0.1267,1.1267,0.2971
20,success,3,14.5543,2.8623,0.1967,5.0848,,,1.1491,0.6674,1.6674,-0.0938,1.1912,0.9689,1.1637,4.1247,0.1969,1.1969,0.0342
21,success,3,14.5362,2.7958,0.1923,5.1993,,,0.7236,0.1773,1.1773,0.1389,1.1235,1.0028,0.9997,4.1252,-0.1241,0.8759,0.0231
22,success,3,13.6779,2.7269,0.1994,5.0159,,,1.2817,-0.2617,0.7383,-0.0022,1.1773,1.1926,0.8268,4.1277,-0.1358,0.8642,0.055
23,success,3,17.5921,3.5141,0.1998,5.0061,,,1.1361,-0.4716,0.5284,-0.0641,1.1203,0.8177,0.9558,4.1235,0.0935,1.0935,-0.0049
24,success,3,16.1402,2.9712,0.1841,5.4322,,,0.9185,-0.6198,0.3802,0.0811,1.0654,1.1283,0.9499,4.145,0.1289,1.1289,0.3057
25,success,3,18.2697,3.7661,0.2061,4.8511,,,0.835,0.1355,1.1355,0.1125,0.8122,0.9782,0.8614,4.1369,0.14,1.14,0.2105
26,success,3,27.9223,4.6467,0.1664,6.009,,,0.336,0.4806,1.4806,0.0632,0.9788,1.1421,1.057,4.122,0.1975,1.1975,0.0012
27,success,3,17.8586,3.7147,0.208,4.8076,,,0.985,-0.0642,0.9358,-0.1423,0.9702,0.8985,1.1685,4.1254,-0.0512,0.9488,-0.0479
28,success,3,20.1529,4.0073,0.1988,5.029,,,0.7256,0.4476,1.4476,-0.1883,1.1757,1.1718,1.1186,4.1454,-0.2521,0.7479,-0.3378
29,success,3,18.2848,3.7216,0.2035,4.9132,,,0.9891,0.0811,1.0811,-0.125,1.0139,1.0149,1.1823,4.1282,0.0035,1.0035,-0.0939
