episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
1,success,3,39.2607,3.3854,0.0862,11.5971,,,1.07,0.682,1.682,-0.0153,1.1545,0.8797,0.8219,4.154,-0.185,0.815,-0.5029
2,success,3,29.5131,3.911,0.1325,7.5462,,,0.6868,-0.5642,0.4358,-0.1807,0.9319,0.9156,0.9157,4.1295,-0.1198,0.8802,-0.0799
3,success,3,17.5229,2.7125,0.1548,6.46,,,1.5098,0.0534,1.0534,-0.0879,0.9744,1.0015,0.8813,4.1603,-0.1828,0.8172,-0.6381
4,timeout,0,120.0036,0.3259,0.0027,368.199,,,1.6455,-0.5049,0.4951,0.0879,0.9795,0.9138,0.9033,1.784,-0.2396,0.7604,0.8496
5,success,3,43.0171,2.9433,0.0684,14.615,,,1.4871,-0.4799,0.5201,-0.1225,1.081,0.9067,0.9438,4.1357,-0.0495,0.9505,0.1914
6,collision,0,10.9242,1.3842,0.1267,7.8919,gate_pole,,0.5048,0.0804,1.0804,-0.0235,0.8151,1.1493,0.9639,1.8743,0.0207,1.0207,-0.6829
7,timeout,0,120.0018,0.4811,0.004,249.4186,,,1.5577,0.4501,1.4501,0.0282,1.1067,0.8426,1.0324,1.8969,0.1715,1.1715,-1.6882
8,success,3,21.3957,3.7276,0.1742,5.7398,,,0.4955,0.4314,1.4314,0.0103,1.0039,1.1739,0.9557,4.1287,-0.0749,0.9251,-0.0968
9,success,3,26.805,3.6928,0.1378,7.2587,,,0.4974,0.3299,1.3299,0.0706,1.0893,1.1524,1.1076,4.1321,0.0246,1.0246,0.1535
10,collision,2,53.3536,3.6897,0.0692,14.4601,gate_pole,,0.3919,0.3655,1.3655,0.0883,0.8913,0.8276,0.8007,3.8929,-0.0215,0.9785,-0.4135
11,success,3,21.8563,3.3912,0.1552,6.4449,,,0.9909,0.5654,1.5654,-0.0362,1.0181,0.9514,0.8812,4.1585,-0.2174,0.7826,-0.5684
12,timeout,2,120.0049,2.6951,0.0225,44.5272,,,1.5464,-0.6269,0.3731,0.0159,0.8848,0.8206,1.1487,3.367,0.1319,1.1319,1.4359
13,collision,2,25.8043,3.8381,0.1487,6.7231,gate_pole,,0.6772,0.6963,1.6963,-0.1764,1.1783,1.1491,0.8136,4.0944,-0.363,0.637,2.9881
14,collision,1,22.6654,1.6157,0.0713,14.0278,gate_pole,,1.4903,-0.4768,0.5232,0.108,0.9982,0.8068,0.8919,2.8754,0.0179,1.0179,-0.5438
15,timeout,2,120.0026,3.1037,0.0259,38.665,,,1.015,-0.3929,0.6071,-0.188,0.8571,1.0792,1.1535,3.8725,-0.0377,0.9623,0.2192
16,collision,2,24.5497,3.1113,0.1267,7.8904,gate_pole,,0.863,0.0491,1.0491,-0.197,0.9356,1.042,1.1342,3.9415,-0.0082,0.9918,0.11
17,success,3,20.4018,3.6264,0.1777,5.626,,,0.5668,-0.1271,0.8729,-0.1078,1.185,1.0641,1.0362,4.1307,-0.0197,0.9803,0.1204
18,timeout,0,120.0019,0.3941,0.0033,304.4995,,,1.609,-0.39,0.61,-0.1198,1.1128,1.0845,0.8914,1.8459,-0.1042,0.8958,0.6275
19,success,3,28.3302,3.8674,0.1365,7.3255,,,0.3428,-0.1024,0.8976,-0.1775,0.8982,0.9656,0.975,4.1271,-0.0774,0.9226,-0.0861
20,collision,2,25.9012,2.9844,0.1152,8.6789,gate_pole,,1.1491,0.6674,1.6674,-0.0938,1.1912,0.9689,1.1637,3.8982,-0.0371,0.9629,0.2256
