episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
1,success,3,23.155,3.2625,0.1409,7.0973,,,1.07,0.682,1.682,-0.0153,1.1545,0.8797,0.8219,4.1372,-0.1639,0.8361,-0.183
2,success,3,23.6359,3.5649,0.1508,6.6301,,,0.6868,-0.5642,0.4358,-0.1807,0.9319,0.9156,0.9157,4.1335,-0.0639,0.9361,-0.1422
3,success,3,19.7812,2.6392,0.1334,7.4951,,,1.5098,0.0534,1.0534,-0.0879,0.9744,1.0015,0.8813,4.1329,-0.0974,0.9026,-0.1666
4,success,3,27.5073,2.9661,0.1078,9.2738,,,1.6455,-0.5049,0.4951,0.0879,0.9795,0.9138,0.9033,4.1334,-0.0708,0.9292,-0.1226
5,success,3,24.9801,2.9696,0.1189,8.4118,,,1.4871,-0.4799,0.5201,-0.1225,1.081,0.9067,0.9438,4.1311,-0.0473,0.9527,-0.1331
6,success,3,26.9499,3.7318,0.1385,7.2217,,,0.5048,0.0804,1.0804,-0.0235,0.8151,1.1493,0.9639,4.1315,-0.0343,0.9657,-0.1177
7,success,3,22.7126,2.784,0.1226,8.1584,,,1.5577,0.4501,1.4501,0.0282,1.1067,0.8426,1.0324,4.1307,0.0521,1.0521,-0.1074
8,success,3,25.9047,3.7415,0.1444,6.9236,,,0.4955,0.4314,1.4314,0.0103,1.0039,1.1739,0.9557,4.1326,-0.0489,0.9511,-0.1186
9,success,3,25.223,3.6549,0.1449,6.9011,,,0.4974,0.3299,1.3299,0.0706,1.0893,1.1524,1.1076,4.1223,0.128,1.128,-0.0186
10,success,3,26.1434,3.8237,0.1463,6.8372,,,0.3919,0.3655,1.3655,0.0883,0.8913,0.8276,0.8007,4.1336,-0.1711,0.8289,-0.1571
11,success,3,24.6231,3.3114,0.1345,7.4359,,,0.9909,0.5654,1.5654,-0.0362,1.0181,0.9514,0.8812,4.1328,-0.0986,0.9014,-0.1592
12,success,3,24.8869,2.8978,0.1164,8.5882,,,1.5464,-0.6269,0.3731,0.0159,0.8848,0.8206,1.1487,4.126,0.1925,1.1925,-0.0579
13,success,3,25.8649,3.6289,0.1403,7.1274,,,0.6772,0.6963,1.6963,-0.1764,1.1783,1.1491,0.8136,4.1311,-0.202,0.798,-0.1176
14,success,3,24.9906,2.9156,0.1167,8.5714,,,1.4903,-0.4768,0.5232,0.108,0.9982,0.8068,0.8919,4.1328,-0.0803,0.9197,-0.132
15,success,3,22.5398,3.1924,0.1416,7.0604,,,1.015,-0.3929,0.6071,-0.188,0.8571,1.0792,1.1535,4.1241,0.1456,1.1456,-0.0422
16,success,3,21.5992,3.2978,0.1527,6.5496,,,0.863,0.0491,1.0491,-0.197,0.9356,1.042,1.1342,4.1311,0.1352,1.1352,-0.1073
17,success,3,24.0407,3.617,0.1505,6.6467,,,0.5668,-0.1271,0.8729,-0.1078,1.185,1.0641,1.0362,4.1334,0.0484,1.0484,-0.1558
18,missed_gate_below,0,7.9944,0.5938,0.0743,13.4642,,below,1.609,-0.39,0.61,-0.1198,1.1128,1.0845,0.8914,2.1528,-0.3596,0.6404,0.4756
19,success,3,26.8482,3.8169,0.1422,7.0341,,,0.3428,-0.1024,0.8976,-0.1775,0.8982,0.9656,0.975,4.1335,-0.0141,0.9859,-0.1519
20,success,3,23.7872,3.1634,0.133,7.5195,,,1.1491,0.6674,1.6674,-0.0938,1.1912,0.9689,1.1637,4.1218,0.1944,1.1944,0.0234
21,success,3,24.2906,3.4325,0.1413,7.0767,,,0.7236,0.1773,1.1773,0.1389,1.1235,1.0028,0.9997,4.135,0.0075,1.0075,-0.1686
22,success,3,23.7374,3.0499,0.1285,7.783,,,1.2817,-0.2617,0.7383,-0.0022,1.1773,1.1926,0.8268,4.1262,-0.1818,0.8182,-0.0617
23,success,3,25.1531,3.2546,0.1294,7.7286,,,1.1361,-0.4716,0.5284,-0.0641,1.1203,0.8177,0.9558,4.1349,-0.0321,0.9679,-0.1676
24,success,3,26.4234,3.4436,0.1303,7.6732,,,0.9185,-0.6198,0.3802,0.0811,1.0654,1.1283,0.9499,4.13,-0.0472,0.9528,-0.0915
25,success,3,24.7075,3.3912,0.1373,7.2857,,,0.835,0.1355,1.1355,0.1125,0.8122,0.9782,0.8614,4.1427,-0.1485,0.8515,-0.275
26,success,3,27.4747,3.8854,0.1414,7.0713,,,0.336,0.4806,1.4806,0.0632,0.9788,1.1421,1.057,4.1268,0.0789,1.0789,-0.0691
27,success,3,21.0025,3.1974,0.1522,6.5687,,,0.985,-0.0642,0.9358,-0.1423,0.9702,0.8985,1.1685,4.1303,0.2014,1.2014,-0.1124
28,success,3,21.8404,3.4394,0.1575,6.3501,,,0.7256,0.4476,1.4476,-0.1883,1.1757,1.1718,1.1186,4.1227,0.1352,1.1352,-0.0187
29,success,3,21.4328,3.1756,0.1482,6.7492,,,0.9891,0.0811,1.0811,-0.125,1.0139,1.0149,1.1823,4.1314,0.2434,1.2434,0.1207
30,success,3,27.3162,3.5668,0.1306,7.6585,,,0.779,-0.4682,0.5318,0.1463,1.1826,1.1263,0.8132,4.1284,-0.1984,0.8016,-0.073
31,success,3,25.5659,3.6405,0.1424,7.0227,,,0.639,0.5994,1.5994,0.0348,0.9936,1.0984,1.1375,4.122,0.1547,1.1547,-0.0004
32,success,3,26.2305,3.5792,0.1365,7.3286,,,0.6159,0.2699,1.2699,0.1762,0.9834,0.8966,1.1147,4.1227,0.1574,1.1574,-0.0277
33,success,3,27.8311,3.9085,0.1404,7.1206,,,0.3313,0.6527,1.6527,0.1468,1.08,1.0907,1.0388,4.1225,0.0584,1.0584,0.0167
34,success,3,23.1728,2.7728,0.1197,8.3571,,,1.498,-0.1366,0.8634,0.1848,1.0964,0.801,1.1319,4.1261,0.1732,1.1732,-0.0602
35,success,3,23.703,3.3145,0.1398,7.1513,,,0.8396,0.1438,1.1438,0.0793,0.9857,1.0304,0.9229,4.1334,-0.0609,0.9391,-0.1704
36,success,3,23.5223,2.8967,0.1231,8.1203,,,1.3325,-0.2911,0.7089,-0.1796,0.8174,1.1652,0.9942,4.1228,-0.0032,0.9968,-0.0233
37,success,3,27.3406,2.8405,0.1039,9.6252,,,1.6728,0.5889,1.5889,-0.1308,1.1236,1.0673,1.0566,4.1337,0.0622,1.0622,-0.1515
38,success,3,26.5392,3.5464,0.1336,7.4834,,,0.7561,0.6969,1.6969,0.1095,1.144,0.9429,1.023,4.1359,0.0276,1.0276,-0.1778
39,success,3,26.5173,3.7328,0.1408,7.1039,,,0.4248,-0.2053,0.7947,0.1739,0.993,0.97,0.8728,4.1318,-0.1149,0.8851,-0.144
40,success,3,24.9858,3.4643,0.1387,7.2123,,,0.731,-0.1943,0.8057,0.159,0.9347,0.8648,1.1708,4.1249,0.2143,1.2143,-0.0638
41,success,3,25.6706,3.3444,0.1303,7.6756,,,0.9487,0.4852,1.4852,0.1175,0.9289,1.0509,1.1634,4.1274,0.1855,1.1855,-0.0771
42,collision,0,8.8001,1.0109,0.1149,8.7051,gate_pole,,1.0801,-0.6363,0.3637,0.1033,1.196,0.9473,1.1983,1.9062,-0.0853,0.9147,0.3748
43,success,3,17.5964,2.5825,0.1468,6.8138,,,1.5727,0.0923,1.0923,-0.075,1.0177,1.0992,0.9,4.1307,-0.074,0.926,-0.1269
44,success,3,26.0598,3.1165,0.1196,8.362,,,1.3135,-0.6434,0.3566,0.0022,0.9934,1.0637,0.8843,4.1328,-0.088,0.912,-0.1304
45,success,3,23.9504,3.2098,0.134,7.4616,,,0.9933,0.1496,1.1496,0.1602,1.1047,0.8239,1.0823,4.1252,0.1041,1.1041,-0.0638
46,success,3,26.4511,3.5386,0.1338,7.4749,,,0.7021,0.371,1.371,0.1597,0.9558,1.038,1.1701,4.1376,0.1595,1.1595,-0.2098
47,success,3,22.3451,3.0368,0.1359,7.3581,,,1.1253,-0.2242,0.7758,0.14,0.9267,1.006,0.9807,4.1341,-0.0132,0.9868,-0.1578
48,success,3,26.2719,3.8179,0.1453,6.8812,,,0.3879,0.1472,1.1472,0.0201,0.8313,0.9358,1.1611,4.1244,0.2015,1.2015,0.0419
49,success,3,19.8282,2.6208,0.1322,7.5656,,,1.5704,0.2879,1.2879,0.0246,1.1541,1.0038,1.0947,4.1359,0.0925,1.0925,-0.1928
50,success,3,26.132,3.8634,0.1478,6.764,,,0.327,-0.4659,0.5341,-0.0939,0.8621,0.8693,0.8979,4.1352,-0.0782,0.9218,-0.1553
51,success,3,23.3224,3.091,0.1325,7.5452,,,1.1591,-0.3504,0.6496,-0.1451,1.0697,1.0646,1.1672,4.1287,0.2026,1.2026,0.0965
52,success,3,24.9828,3.1891,0.1277,7.8339,,,1.0638,-0.343,0.657,-0.1053,1.0516,0.8918,0.9326,4.1336,-0.0543,0.9457,-0.1531
53,success,3,22.078,3.0217,0.1369,7.3064,,,1.1911,0.2204,1.2204,0.0067,0.9021,0.9576,0.8351,4.1348,-0.1452,0.8548,-0.1876
54,success,3,23.7283,3.5393,0.1492,6.7042,,,0.6507,-0.1258,0.8742,0.1384,1.1539,1.1221,0.8801,4.1313,-0.1117,0.8883,-0.1234
55,success,3,25.1988,3.8901,0.1544,6.4776,,,0.3065,-0.3434,0.6566,-0.0601,1.034,1.0292,1.0804,4.1373,0.0824,1.0824,-0.2216
56,success,3,24.0186,3.703,0.1542,6.4863,,,0.468,0.0088,1.0088,-0.0358,0.853,0.975,1.1025,4.1324,0.1116,1.1116,-0.1182
57,success,3,21.5797,3.1515,0.146,6.8475,,,1.0094,-0.1108,0.8892,-0.1234,1.0781,1.0363,1.1391,4.1222,0.1484,1.1484,-0.0128
58,success,3,24.5097,3.7971,0.1549,6.4549,,,0.3803,-0.3053,0.6947,0.1239,0.9045,0.8054,0.9343,4.1344,-0.0526,0.9474,-0.1368
